file,params,prop,type,n,a,repeat,error,time_VI,iters_VI,dist_VI,time_VIGS,iters_VIGS,dist_VIGS,time_RVI,iters_RVI,dist_RVI,time_PI1,iters_PI1,dist_PI1,time_PIGS1,iters_PIGS1,dist_PIGS1,time_PI2,iters_PI2,dist_PI2,time_PIGS2,iters_PIGS2,dist_PIGS2,time_PI3,iters_PI3,dist_PI3,time_PIGS3,iters_PIGS3,dist_PIGS3
consensus.2.v1.jani,{'K': 8},steps_max,AverageMDP,1040,3,15,,0.46633,13100,9.99273e-09,,,,0.46351,13100,9.99273e-09,,,,,,,,,,,,,,,,,,
consensus.2.v1.jani,{'K': 8},steps_max,AverageMDP,1040,3,16,,0.45458,13100,9.99273e-09,,,,0.46228,13100,9.99273e-09,,,,,,,,,,,,,,,,,,
consensus.2.v1.jani,{'K': 8},steps_max,AverageMDP,1040,3,17,,0.45564,13100,9.99273e-09,,,,0.46137,13100,9.99273e-09,,,,,,,,,,,,,,,,,,
consensus.2.v1.jani,{'K': 8},steps_max,AverageMDP,1040,3,18,,0.46296,13100,9.99273e-09,,,,0.4625,13100,9.99273e-09,,,,,,,,,,,,,,,,,,
consensus.2.v1.jani,{'K': 8},steps_max,AverageMDP,1040,3,19,,0.50415,13100,9.99273e-09,,,,0.46463,13100,9.99273e-09,,,,,,,,,,,,,,,,,,
consensus.2.v1.jani,{'K': 8},steps_max,AverageMDP,1040,3,20,,0.46362,13100,9.99273e-09,,,,0.46273,13100,9.99273e-09,,,,,,,,,,,,,,,,,,
consensus.2.v1.jani,{'K': 16},c2,TotalRewardMDP,2064,3,1,,1.7607,29723,9.99782e-09,0.86482,14880,9.99782e-09,,,,1.17307,14786,9.99782e-09,0.73433,9400,9.99839e-09,1.03887,11466,9.99782e-09,0.63799,7484,9.98235e-09,0.68222,2871,9.99782e-09,0.36007,1989,9.9811e-09
consensus.2.v1.jani,{'K': 16},c2,TotalRewardMDP,2064,3,2,,1.73758,29723,9.99782e-09,0.87092,14880,9.99782e-09,,,,1.15017,14786,9.99782e-09,0.73257,9400,9.99839e-09,1.02609,11466,9.99782e-09,0.63211,7484,9.98235e-09,0.68569,2871,9.99782e-09,0.35554,1989,9.9811e-09
consensus.2.v1.jani,{'K': 16},c2,TotalRewardMDP,2064,3,3,,1.76478,29723,9.99782e-09,0.86857,14880,9.99782e-09,,,,1.17443,14786,9.99782e-09,0.72045,9400,9.99839e-09,1.03195,11466,9.99782e-09,0.63093,7484,9.98235e-09,0.68334,2871,9.99782e-09,0.35722,1989,9.9811e-09
consensus.2.v1.jani,{'K': 16},c2,TotalRewardMDP,2064,3,4,,1.81378,29723,9.99782e-09,0.87809,14880,9.99782e-09,,,,1.16388,14786,9.99782e-09,0.72689,9400,9.99839e-09,1.08361,11466,9.99782e-09,0.64058,7484,9.98235e-09,0.7121,2871,9.99782e-09,0.41271,1989,9.9811e-09
consensus.2.v1.jani,{'K': 16},c2,TotalRewardMDP,2064,3,5,,1.76975,29723,9.99782e-09,0.87101,14880,9.99782e-09,,,,1.15689,14786,9.99782e-09,0.73542,9400,9.99839e-09,1.03917,11466,9.99782e-09,0.6243,7484,9.98235e-09,0.6917,2871,9.99782e-09,0.36152,1989,9.9811e-09
consensus.2.v1.jani,{'K': 16},c2,TotalRewardMDP,2064,3,6,,1.76542,29723,9.99782e-09,0.87443,14880,9.99782e-09,,,,1.19902,14786,9.99782e-09,0.75138,9400,9.99839e-09,1.03417,11466,9.99782e-09,0.63591,7484,9.98235e-09,0.68771,2871,9.99782e-09,0.35818,1989,9.9811e-09
consensus.2.v1.jani,{'K': 16},c2,TotalRewardMDP,2064,3,7,,1.77907,29723,9.99782e-09,0.87371,14880,9.99782e-09,,,,1.15782,14786,9.99782e-09,0.73397,9400,9.99839e-09,1.1601,11466,9.99782e-09,0.63952,7484,9.98235e-09,0.67359,2871,9.99782e-09,0.35935,1989,9.9811e-09
consensus.2.v1.jani,{'K': 16},c2,TotalRewardMDP,2064,3,8,,1.77989,29723,9.99782e-09,0.86809,14880,9.99782e-09,,,,1.18701,14786,9.99782e-09,0.72216,9400,9.99839e-09,1.18173,11466,9.99782e-09,0.6297,7484,9.98235e-09,0.68095,2871,9.99782e-09,0.35492,1989,9.9811e-09
consensus.2.v1.jani,{'K': 16},c2,TotalRewardMDP,2064,3,9,,1.76221,29723,9.99782e-09,0.85886,14880,9.99782e-09,,,,1.1606,14786,9.99782e-09,0.71566,9400,9.99839e-09,1.1109,11466,9.99782e-09,0.63615,7484,9.98235e-09,0.6893,2871,9.99782e-09,0.36261,1989,9.9811e-09
consensus.2.v1.jani,{'K': 16},c2,TotalRewardMDP,2064,3,10,,1.81035,29723,9.99782e-09,0.87308,14880,9.99782e-09,,,,1.18179,14786,9.99782e-09,0.74359,9400,9.99839e-09,1.01772,11466,9.99782e-09,0.64515,7484,9.98235e-09,0.68806,2871,9.99782e-09,0.36127,1989,9.9811e-09
consensus.2.v1.jani,{'K': 16},c2,TotalRewardMDP,2064,3,11,,1.78318,29723,9.99782e-09,0.86675,14880,9.99782e-09,,,,1.26604,14786,9.99782e-09,0.7594,9400,9.99839e-09,1.02871,11466,9.99782e-09,0.6361,7484,9.98235e-09,0.67737,2871,9.99782e-09,0.35735,1989,9.9811e-09
consensus.2.v1.jani,{'K': 16},c2,TotalRewardMDP,2064,3,12,,1.76326,29723,9.99782e-09,0.85549,14880,9.99782e-09,,,,1.24419,14786,9.99782e-09,0.79335,9400,9.99839e-09,1.14517,11466,9.99782e-09,0.62961,7484,9.98235e-09,0.68598,2871,9.99782e-09,0.3633,1989,9.9811e-09
consensus.2.v1.jani,{'K': 16},c2,TotalRewardMDP,2064,3,13,,1.91226,29723,9.99782e-09,0.86428,14880,9.99782e-09,,,,1.15595,14786,9.99782e-09,0.7789,9400,9.99839e-09,1.06483,11466,9.99782e-09,0.63921,7484,9.98235e-09,0.67964,2871,9.99782e-09,0.36289,1989,9.9811e-09
consensus.2.v1.jani,{'K': 16},c2,TotalRewardMDP,2064,3,14,,1.80652,29723,9.99782e-09,0.88496,14880,9.99782e-09,,,,1.17391,14786,9.99782e-09,0.74136,9400,9.99839e-09,1.04462,11466,9.99782e-09,0.6417,7484,9.98235e-09,0.68763,2871,9.99782e-09,0.36208,1989,9.9811e-09
consensus.2.v1.jani,{'K': 16},c2,TotalRewardMDP,2064,3,15,,1.78741,29723,9.99782e-09,0.87018,14880,9.99782e-09,,,,1.16235,14786,9.99782e-09,0.73377,9400,9.99839e-09,1.03739,11466,9.99782e-09,0.63413,7484,9.98235e-09,0.6889,2871,9.99782e-09,0.35729,1989,9.9811e-09
consensus.2.v1.jani,{'K': 16},c2,TotalRewardMDP,2064,3,16,,1.77033,29723,9.99782e-09,0.86555,14880,9.99782e-09,,,,1.31319,14786,9.99782e-09,0.73092,9400,9.99839e-09,1.03162,11466,9.99782e-09,0.63296,7484,9.98235e-09,0.6803,2871,9.99782e-09,0.35737,1989,9.9811e-09
consensus.2.v1.jani,{'K': 16},c2,TotalRewardMDP,2064,3,17,,1.79426,29723,9.99782e-09,0.9017,14880,9.99782e-09,,,,1.19452,14786,9.99782e-09,0.75226,9400,9.99839e-09,1.06677,11466,9.99782e-09,0.6521,7484,9.98235e-09,0.68628,2871,9.99782e-09,0.36362,1989,9.9811e-09
consensus.2.v1.jani,{'K': 16},c2,TotalRewardMDP,2064,3,18,,1.79137,29723,9.99782e-09,0.8936,14880,9.99782e-09,,,,1.17557,14786,9.99782e-09,0.74176,9400,9.99839e-09,1.04574,11466,9.99782e-09,0.65154,7484,9.98235e-09,0.69236,2871,9.99782e-09,0.36127,1989,9.9811e-09
consensus.2.v1.jani,{'K': 16},c2,TotalRewardMDP,2064,3,19,,1.79609,29723,9.99782e-09,0.88104,14880,9.99782e-09,,,,1.17913,14786,9.99782e-09,0.74712,9400,9.99839e-09,1.05181,11466,9.99782e-09,0.64812,7484,9.98235e-09,0.6948,2871,9.99782e-09,0.3647,1989,9.9811e-09
consensus.2.v1.jani,{'K': 16},c2,TotalRewardMDP,2064,3,20,,1.79583,29723,9.99782e-09,0.87711,14880,9.99782e-09,,,,1.18722,14786,9.99782e-09,0.75272,9400,9.99839e-09,1.03139,11466,9.99782e-09,0.64804,7484,9.98235e-09,0.69542,2871,9.99782e-09,0.36184,1989,9.9811e-09
consensus.2.v1.jani,{'K': 16},steps_max,AverageMDP,2064,3,1,,3.46223,49406,9.9958e-09,,,,3.40703,49406,9.9958e-09,,,,,,,,,,,,,,,,,,
consensus.2.v1.jani,{'K': 16},steps_max,AverageMDP,2064,3,2,,3.39233,49406,9.9958e-09,,,,3.37476,49406,9.9958e-09,,,,,,,,,,,,,,,,,,
consensus.2.v1.jani,{'K': 16},steps_max,AverageMDP,2064,3,3,,3.43815,49406,9.9958e-09,,,,3.40235,49406,9.9958e-09,,,,,,,,,,,,,,,,,,
consensus.2.v1.jani,{'K': 16},steps_max,AverageMDP,2064,3,4,,3.38324,49406,9.9958e-09,,,,3.40351,49406,9.9958e-09,,,,,,,,,,,,,,,,,,
consensus.2.v1.jani,{'K': 16},steps_max,AverageMDP,2064,3,5,,3.42785,49406,9.9958e-09,,,,3.44176,49406,9.9958e-09,,,,,,,,,,,,,,,,,,
consensus.2.v1.jani,{'K': 16},steps_max,AverageMDP,2064,3,6,,3.66172,49406,9.9958e-09,,,,3.4072,49406,9.9958e-09,,,,,,,,,,,,,,,,,,
consensus.2.v1.jani,{'K': 16},steps_max,AverageMDP,2064,3,7,,3.38686,49406,9.9958e-09,,,,3.4056,49406,9.9958e-09,,,,,,,,,,,,,,,,,,
consensus.2.v1.jani,{'K': 16},steps_max,AverageMDP,2064,3,8,,3.44117,49406,9.9958e-09,,,,3.77589,49406,9.9958e-09,,,,,,,,,,,,,,,,,,
consensus.2.v1.jani,{'K': 16},steps_max,AverageMDP,2064,3,9,,3.42082,49406,9.9958e-09,,,,3.4142,49406,9.9958e-09,,,,,,,,,,,,,,,,,,
consensus.2.v1.jani,{'K': 16},steps_max,AverageMDP,2064,3,10,,3.4349,49406,9.9958e-09,,,,3.39503,49406,9.9958e-09,,,,,,,,,,,,,,,,,,
consensus.2.v1.jani,{'K': 16},steps_max,AverageMDP,2064,3,11,,3.38413,49406,9.9958e-09,,,,3.46793,49406,9.9958e-09,,,,,,,,,,,,,,,,,,
consensus.2.v1.jani,{'K': 16},steps_max,AverageMDP,2064,3,12,,3.40567,49406,9.9958e-09,,,,3.58348,49406,9.9958e-09,,,,,,,,,,,,,,,,,,
consensus.2.v1.jani,{'K': 16},steps_max,AverageMDP,2064,3,13,,3.46805,49406,9.9958e-09,,,,3.8276,49406,9.9958e-09,,,,,,,,,,,,,,,,,,
consensus.2.v1.jani,{'K': 16},steps_max,AverageMDP,2064,3,14,,3.42129,49406,9.9958e-09,,,,3.38022,49406,9.9958e-09,,,,,,,,,,,,,,,,,,
consensus.2.v1.jani,{'K': 16},steps_max,AverageMDP,2064,3,15,,3.36325,49406,9.9958e-09,,,,3.38103,49406,9.9958e-09,,,,,,,,,,,,,,,,,,
consensus.2.v1.jani,{'K': 16},steps_max,AverageMDP,2064,3,16,,3.43123,49406,9.9958e-09,,,,3.37832,49406,9.9958e-09,,,,,,,,,,,,,,,,,,
consensus.2.v1.jani,{'K': 16},steps_max,AverageMDP,2064,3,17,,3.40442,49406,9.9958e-09,,,,3.47578,49406,9.9958e-09,,,,,,,,,,,,,,,,,,
consensus.2.v1.jani,{'K': 16},steps_max,AverageMDP,2064,3,18,,3.36957,49406,9.9958e-09,,,,3.35927,49406,9.9958e-09,,,,,,,,,,,,,,,,,,
consensus.2.v1.jani,{'K': 16},steps_max,AverageMDP,2064,3,19,,3.37269,49406,9.9958e-09,,,,3.47114,49406,9.9958e-09,,,,,,,,,,,,,,,,,,
consensus.2.v1.jani,{'K': 16},steps_max,AverageMDP,2064,3,20,,3.40241,49406,9.9958e-09,,,,3.32784,49406,9.9958e-09,,,,,,,,,,,,,,,,,,
